Year,US GAS PRICE,UK GAS PRICE,US ENVIRONMENT,UK ENVIRONMENT,US GDP PC,UK GDP PC,US BIKE COOL,UK BIKE COOL,US MED AGE,UK MED AGE,US BIKE SALES,UK BIKE SALES,US GYM,UK GYM,LITHIUM,US SPENDING,UK SPENDING
2012,3.686166667,1.720144767,55.16666667,28.75,51784,42486,6.083333333,8.583333333,37.4,39.8,70000,20000,50200000,4600000,443.6,11052,306000
2013,3.576416667,1.706649933,54.5,25.91666667,53291,43449,6.333333333,8.916666667,37.6,39.9,159000,25000,52900000,4800000,324,11214,314000
2014,3.442,1.626232767,56.5,25.41666667,55124,47448,7.666666667,10.33333333,37.7,40,193000,50000,54100000,5000000,289,11565,322000
2015,2.513,1.432438933,61.33333333,37.58333333,56763,45071,8.833333333,12.33333333,37.8,40,130000,40000,55300000,5400000,264.3,11943,336000
2016,2.2525,1.4186732,67.91666667,29,57867,41146,10.91666667,18.25,37.9,40,152000,75000,57300000,5900000,245,12222,346000
2017,2.530333333,1.5285382,71.83333333,36.75,59908,40621,13.25,22,38,40.1,220000,55000,60900000,6400000,219,12500,349500
2018,2.817333333,1.6276274,73.58333333,36.33333333,62823,43306,17.41666667,25.75,38.2,40.1,369000,70000,62500000,6600000,197,12900,365000
2019,2.68575,1.639597167,83.16666667,41.83333333,63531,42747,24,32.58333333,38.4,40.3,423000,101000,64200000,7000000,185,13192,360000
2020,2.25975,1.5324512,78.08333333,36.83333333,65120,40319,38.41666667,55,38.6,40.4,416000,160000,66196428.57,7346428.571,169,12820,320000
2021,3.09375,1.744214733,80.5,44.91666667,70249,46510,54.75,55.75,38.6,40.7,750000,160000,68201190.48,7709523.81,157,13874,345000
2022,4.063833333,2.1237356,86.5,49,70020.8,42809.66667,71.5,59.66666667,38.8,40.58,928000,165000,70205952.38,8072619.048,102.2133333,14178,350000