County,Density
Anderson,54.51
Andrews,12.4
Angelina,108.28
Aransas,94.54
Archer,9.48
Armstrong,2.03
Atascosa,40.16
Austin,46.66
Bailey,8.35
Bandera,26.36
Bastrop,109.45
Baylor,3.99
Bee,35.27
Bell,351.71
Bexar,"1,620.00"
Blanco,16.04
Borden,0.7
Bosque,18.55
Bowie,104.97
Brazoria,272.88
Brazos,398.96
Brewster,1.54
Briscoe,1.59
Brooks,7.5
Brown,40.34
Burleson,26.77
Burnet,49.39
Caldwell,84.26
Calhoun,39.66
Callahan,15.24
Cameron,472.15
Camp,63.64
Carson,6.31
Cass,30.37
Castro,8.24
Chambers,78
Cherokee,47.88
Childress,9.57
Clay,9.38
Cochran,3.29
Coke,3.6
Coleman,6.08
Collin,"1,265.34"
Collingsworth,2.89
Colorado,21.41
Comal,288.64
Comanche,14.5
Concho,3.36
Cooke,47.63
Coryell,78.97
Cottle,1.53
Crane,5.95
Crockett,1.1
Crosby,5.7
Culberson,0.57
Dallam,4.73
Dallas,"2,993.57"
Dawson,13.84
Deaf Smith,12.41
Delta,20.36
Denton,"1,031.77"
DeWitt,21.81
Dickens,1.96
Dimmit,6.48
Donley,3.51
Duval,5.48
Eastland,19.13
Ector,183.96
Edwards,0.67
Ellis,205.67
El Paso,854.35
Erath,39.28
Falls,22.17
Fannin,40.03
Fayette,25.72
Fisher,4.08
Floyd,5.44
Foard,1.55
Fort Bend,954.81
Franklin,36.43
Freestone,22.14
Frio,16.22
Gaines,14.38
Galveston,924.57
Garza,6.51
Gillespie,25.26
Glasscock,1.24
Goliad,8.23
Gonzales,18.42
Gray,22.92
Grayson,145.3
Gregg,454.46
Grimes,37.17
Guadalupe,242.82
Hale,32.37
Hall,3.2
Hamilton,9.84
Hansford,5.75
Hardeman,5.11
Hardin,63.14
Harris,"2,771.68"
Harrison,76.48
Hartley,3.68
Haskell,6
Hays,356.16
Hemphill,3.73
Henderson,94.02
Hidalgo,554.3
Hill,37.41
Hockley,23.71
Hood,146.42
Hopkins,47.94
Houston,17.93
Howard,38.7
Hudspeth,0.7
Hunt,118.94
Hutchinson,23.23
Irion,1.44
Jack,9.3
Jackson,18.07
Jasper,35.14
Jeff Davis,0.88
Jefferson,292.58
Jim Hogg,4.26
Jim Wells,44.95
Johnson,248.25
Jones,21.17
Karnes,19.67
Kaufman,186.11
Kendall,66.84
Kenedy,0.24
Kent,0.83
Kerr,47.67
Kimble,3.43
King,0.29
Kinney,2.3
Kleberg,35.22
Knox,3.94
Lamar,55.2
Lamb,12.84
Lampasas,30.35
La Salle,4.48
Lavaca,20.97
Lee,27.79
Leon,14.65
Liberty,79.1
Limestone,24.46
Lipscomb,3.28
Live Oak,10.9
Llano,22.74
Loving,0.1
Lubbock,346.85
Lynn,6.27
McCulloch,7.16
McLennan,251.36
McMullen,0.53
Madison,28.87
Marion,25.53
Martin,5.72
Mason,4.26
Matagorda,33.17
Maverick,45.24
Medina,38.29
Menard,2.18
Midland,188.79
Milam,24.36
Mills,5.96
Mitchell,9.87
Montague,21.45
Montgomery,595.33
Moore,23.74
Morris,47.51
Motley,1.07
Nacogdoches,68.32
Navarro,52.12
Newton,13.08
Nolan,16.16
Nueces,420.92
Ochiltree,10.91
Oldham,1.17
Orange,254.08
Palo Pinto,29.82
Panola,27.72
Parker,164.01
Parmer,11.2
Pecos,3.19
Polk,47.42
Potter,130.48
Presidio,1.59
Rains,53.01
Randall,154.21
Reagan,2.88
Real,3.94
Red River,11.1
Reeves,5.6
Refugio,8.75
Roberts,0.89
Robertson,19.6
Rockwall,847.57
Runnels,9.42
Rusk,56.5
Sabine,20.12
San Augustine,14.92
San Jacinto,48.14
San Patricio,99.15
San Saba,5.05
Schleicher,1.87
Scurry,18.7
Shackelford,3.4
Shelby,30.19
Sherman,3.01
Smith,253.38
Somervell,49.39
Starr,53.89
Stephens,10.15
Sterling,1.49
Stonewall,1.36
Sutton,2.32
Swisher,7.83
Tarrant,"2,439.23"
Taylor,156.42
Terrell,0.32
Terry,13.31
Throckmorton,1.58
Titus,76.95
Tom Green,78.85
Travis,"1,297.91"
Trinity,19.61
Tyler,21.42
Upshur,70.14
Upton,2.66
Uvalde,15.83
Val Verde,15.13
Van Zandt,70.67
Victoria,103.52
Walker,97.42
Waller,110.64
Ward,13.93
Washington,59.26
Webb,79.46
Wharton,38.27
Wheeler,5.46
Wichita,206.11
Wilbarger,13.27
Willacy,34.14
Williamson,545.8
Wilson,61.9
Winkler,9.26
Wise,75.89
Wood,69.5
Yoakum,9.62
Young,19.54
Zapata,13.91
Zavala,7.45